	tz	gs	alpha
2023-07-17 10:00:00	27.942538052492996	-84.2319699366914	62.057461947507
2023-07-17 10:30:00	21.34360364428593	-78.63556201618931	68.65639635571407
2023-07-17 11:00:00	14.91768601010078	-69.62828426126408	75.08231398989922
2023-07-17 11:30:00	9.080497936670836	-50.458236759985375	80.91950206332916
2023-07-17 12:00:00	5.976306435486165	0.0	84.02369356451383
2023-07-17 12:30:00	9.080497936670836	50.458236759985375	80.91950206332916
2023-07-17 13:00:00	14.91768601010078	69.62828426126408	75.08231398989922
2023-07-17 13:30:00	21.34360364428593	78.63556201618931	68.65639635571407
2023-07-17 14:00:00	27.942538052492996	84.2319699366914	62.057461947507
2023-07-17 14:30:00	34.60081410990787	88.36906604426915	55.39918589009213
2023-07-17 15:00:00	41.27282863894303	91.78499664788937	48.72717136105697
2023-07-17 15:30:00	47.933825242325966	94.82216048760165	42.066174757674034
2023-07-17 16:00:00	54.5664355789171	97.66651175897167	35.4335644210829
2023-07-17 16:30:00	61.15568885560321	100.43386492792006	28.844311144396787
2023-07-17 17:00:00	67.68664844194278	103.2063821237646	22.313351558057217
2023-07-17 17:30:00	74.14294162077634	106.05017521596072	15.857058379223668
2023-07-17 18:00:00	80.50554642855606	109.02492489476936	9.494453571443945
2023-07-17 18:30:00	86.75154213458697	112.18985949518812	3.248457865413033
2023-07-17 19:00:00	92.8526455978897	115.6079635231722	-2.8526455978897034
2023-07-17 19:30:00	98.77339757491052	119.34918762134221	-8.773397574910511
2023-07-17 20:00:00	104.46889201063958	123.49277739589789	-14.468892010639578
2023-07-17 20:30:00	109.88200464470742	128.12822408183237	-19.88200464470741
2023-07-17 21:00:00	114.94024239136941	133.35353312716836	-24.940242391369406
2023-07-17 21:30:00	119.55270965930217	139.26841388033486	-29.55270965930216
2023-07-17 22:00:00	123.60840463901322	145.95890602967162	-33.60840463901323
2023-07-17 22:30:00	126.97813845744786	153.47015199964338	-36.97813845744786
2023-07-17 23:00:00	129.5233330846452	161.76829822801804	-39.5233330846452
2023-07-17 23:30:00	131.11430174167756	170.70355242067185	-41.114301741677565
2023-07-18 00:00:00	131.83256863226637	-180.0	-41.83256863226637
2023-07-18 00:30:00	131.28845161285787	-170.66739293402463	-41.288451612857884
2023-07-18 01:00:00	129.69153742634737	-161.69991489637948	-39.691537426347374
2023-07-18 01:30:00	127.13755203046831	-153.37591428533736	-37.137552030468306
2023-07-18 02:00:00	123.75736250065202	-145.84566106624996	-33.75736250065202
2023-07-18 02:30:00	119.69057646487157	-139.1420799593545	-29.690576464871576
2023-07-18 03:00:00	115.06711313247456	-133.2185187769322	-25.067113132474557
2023-07-18 03:30:00	109.99841273977917	-127.98742951625985	-19.998412739779166
2023-07-18 04:00:00	104.57559120156483	-123.34784853310089	-14.575591201564821
2023-07-18 04:30:00	98.8712231411945	-119.20080834868986	-8.871223141194514
2023-07-18 05:00:00	92.94243693839525	-115.45609246027371	-2.942436938395252
2023-07-18 05:30:00	86.83410640538453	-112.03388624928222	3.165893594615474
2023-07-18 06:00:00	80.5816478833137	-108.86374742176136	9.418352116686291
2023-07-18 06:30:00	74.21330714540808	-105.88220370539858	15.78669285459191
2023-07-18 07:00:00	67.7519846678209	-103.02946758696163	22.248015332179094
2023-07-18 07:30:00	61.216710333582874	-100.24513603380197	28.783289666417126
2023-07-18 08:00:00	54.62390783014647	-97.46207846093745	35.376092169853536
2023-07-18 08:30:00	47.98863303555676	-94.59659641918034	42.01136696444324
